package,test,result,log,elapsed_seconds,completed_runs
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchRollsBackDatabaseFailures,pass,rcc-goose-t3-integration.jsonl,9.93,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchUsesLatestPolicyAndLiveSchema,pass,rcc-goose-t3-integration.jsonl,11.12,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyPatchesOnlySubmittedFieldsWithJSONStringSemantics,pass,rcc-goose-t3-integration.jsonl,13.12,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyRejectsMissingRequiredFieldsAndRollsBackDatabaseFailures,pass,rcc-goose-t3-integration.jsonl,13.13,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyReturnsARequiredNonAutoIncrementID,pass,rcc-goose-t3-integration.jsonl,12.91,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyReturnsExplicitAutoIncrementID,pass,rcc-goose-t3-integration.jsonl,16.56,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyUsesDefaultsAndNullabilityAndRejectsInvalidInputFields,pass,rcc-goose-t3-integration.jsonl,8.52,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyUsesDefaultsAndNullabilityAndRejectsInvalidInputFields/generated_field,pass,rcc-goose-t3-integration.jsonl,0.01,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyUsesDefaultsAndNullabilityAndRejectsInvalidInputFields/invalid_JSON,pass,rcc-goose-t3-integration.jsonl,0.01,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyUsesDefaultsAndNullabilityAndRejectsInvalidInputFields/invalid_enum_member,pass,rcc-goose-t3-integration.jsonl,0.1,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyUsesDefaultsAndNullabilityAndRejectsInvalidInputFields/invalid_integer,pass,rcc-goose-t3-integration.jsonl,0.02,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyUsesDefaultsAndNullabilityAndRejectsInvalidInputFields/non-string_dynamic_value,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyUsesDefaultsAndNullabilityAndRejectsInvalidInputFields/null_in_non-null_column,pass,rcc-goose-t3-integration.jsonl,0.01,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestMutationPolicyUsesDefaultsAndNullabilityAndRejectsInvalidInputFields/unknown_field,pass,rcc-goose-t3-integration.jsonl,0.02,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestOldRecordWriteRoutesAreRemoved,pass,rcc-goose-t3-integration.jsonl,8.49,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestOperatorColumnsRejectIncompatibleWritesAndPreserveHistory,pass,rcc-goose-t3-integration.jsonl,17.99,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestPolicyAuditMigrationPreservesDataAndIsRestartable,pass,rcc-goose-t3-integration.jsonl,12.36,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestPolicyAuditMigrationPreservesDataAndIsRestartable/legacy,pass,rcc-goose-t3-integration.jsonl,0.17,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestPolicyAuditMigrationPreservesDataAndIsRestartable/partial,pass,rcc-goose-t3-integration.jsonl,0.17,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestPolicyAuditMigrationRejectsAmbiguousOrMissingColumnsBeforeDDL,pass,rcc-goose-t3-integration.jsonl,8.73,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestPolicyAuditMigrationRejectsAmbiguousOrMissingColumnsBeforeDDL/duplicate,pass,rcc-goose-t3-integration.jsonl,0.05,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestPolicyAuditMigrationRejectsAmbiguousOrMissingColumnsBeforeDDL/missing,pass,rcc-goose-t3-integration.jsonl,0.03,1
